,composition,phases,hardness (HV),temperature (C),compressive ys (MPa),compressive strength (MPa),compressive strain (%),doi,ys (MPa),uts (MPa),elongation (%),pmg_comp,is_ductile,Mo,Nb,Ta,V,W,Cr,Ti,Al,Co,Cu,Fe,Ni,Re,C,Hf,Zr,Si,Mn,Ru
340,Mo1 Nb1 Ta1 V1 W1,BCC,536.0,25.0,1246.0,1270.0,2.0,10.1016/j.intermet.2011.01.004,,,,Mo1 Nb1 Ta1 V1 W1,False,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Mo1 Nb1 Ta1 W1,BCC,454.0,25.0,1058.0,1211.0,2.0,10.1016/j.intermet.2011.01.004,,,,Mo1 Nb1 Ta1 W1,False,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Cr1 Ta1 Ti0.17 V1 W1,BCC+Laves,715.0,25.0,2034.0,,1.5,10.1016/j.matchemphys.2017.06.054,,,,Cr1 Ta1 Ti0.17 V1 W1,False,0.0,0.0,0.23980815347721823,0.23980815347721823,0.23980815347721823,0.23980815347721823,0.0407673860911271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Cr1 Ta1 Ti0.3 V1 W1,BCC+Laves,780.0,25.0,2050.0,,1.5,10.1016/j.matchemphys.2017.06.054,,,,Cr1 Ta1 Ti0.3 V1 W1,False,0.0,0.0,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Cr1 Ta1 V1 W1,BCC+Laves,715.0,25.0,2327.0,,1.5,10.1016/j.matchemphys.2017.06.054,,,,Cr1 Ta1 V1 W1,False,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,Mo1 Nb1 Ta1 Ti0.25 W1,BCC,478.3,25.0,1109.0,1197.0,,10.1016/j.msea.2017.12.004,,,,Mo1 Nb1 Ta1 Ti0.25 W1,,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,Mo1 Nb1 Ta1 Ti0.5 W1,BCC,481.2,25.0,1211.0,1578.0,,10.1016/j.msea.2017.12.004,,,,Mo1 Nb1 Ta1 Ti0.5 W1,,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,Mo1 Nb1 Ta1 Ti0.75 W1,BCC,495.6,25.0,1304.0,1593.0,,10.1016/j.msea.2017.12.004,,,,Mo1 Nb1 Ta1 Ti0.75 W1,,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.0,0.21052631578947367,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,Mo1 Nb1 Ta1 Ti1 W1,BCC,507.5,25.0,1455.0,1910.0,,10.1016/j.msea.2017.12.004,,,,Mo1 Nb1 Ta1 Ti1 W1,,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,,25.0,1515.0,2135.0,,10.1016/j.intermet.2017.01.007,,,,Mo1 Nb1 Ta1 Ti1 V1 W1,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Mo1 Nb1 Ta1 V1 W1,BCC,,25.0,2612.0,3472.0,,10.1016/j.msea.2017.12.021,,,,Mo1 Nb1 Ta1 V1 W1,,0.2,0.36363636363636365,0.36363636363636365,0.2,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
591,Nb1 Ta1 Ti1 V1 W1,BCC,,25.0,1420.0,1800.0,20.0,10.1016/j.msea.2016.07.102,,,,Nb1 Ta1 Ti1 V1 W1,True,0.0,0.3508771929824561,0.3508771929824561,0.2,0.17543859649122806,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03508771929824561,0.08771929824561403,0.0,0.0,0.0,0.0
592,Nb1 Ta1 V1 W1,BCC,,25.0,1530.0,1700.0,12.0,10.1016/j.msea.2016.07.102,,,,Nb1 Ta1 V1 W1,True,0.0,0.3448275862068966,0.3448275862068966,0.25,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.08620689655172414,0.0,0.0,0.0,0.0
703,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,231.0,25.0,,,,10.1016/j.ultramic.2015.06.009,,,,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,0.0010471204188481674,0.0,0.0,0.0,0.0010471204188481674,0.13961605584642234,0.01012216404886562,0.07993019197207679,0.16963350785340311,0.07993019197207679,0.16963350785340311,0.34904013961605584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
