,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
0,Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1,FCC+IM,520,,,,2100,46,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.034,0,0,0,0.256,0.171,0,0.171,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.017,0,0,0.094,0,0,0,0,0
1,Al0.2Co1.5CrFeNi1.5Ti0.65Si0.3,FCC+IM,640,,,,1900,24,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.033,0,0,0,0.244,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.049,0,0,0.106,0,0,0,0,0
2,Al0.2Co1.5CrFeNi1.5Ti0.75Si0.5,FCC+IM,770,,,,1600,15,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.031,0,0,0,0.233,0.155,0,0.155,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0.078,0,0,0.116,0,0,0,0,0
3,CoFeNi,FCC,125,,,,204,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
4,CoFeNiSi0.25,FCC,149,,,,196,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0.077,0,0,0,0,0,0,0,0
5,CoFeNiSi0.5,FCC+IM,287,,,,476,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.143,0,0,0,0,0,0,0,0
6,CoFeNiSi0.75,FCC+IM,570,,,,1301,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0.2,0,0,0,0,0,0,0,0
7,Al0.25CoFeNi,FCC,138,,,,158,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.077,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
8,Al0.5CoFeNi,FCC + BCC,212,,,,346,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
9,Al0.75CoFeNi,FCC + BCC,385,,,,794,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.2,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0
10,CoCrFeNiTi,FCC,,,,,,9,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
11,Al0.7Co0.3CrFeNi,FCC + BCC + B2,624,,,,2033,8,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,1,0,0.175,0,0,0,0.075,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
12,AlCoCrFeNi,BCC,,,,,1251,33,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
13,AlC0.1CoCrFeNi,BCC + IM,,,,,957,11,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.196,0,0.02,0,0.196,0.196,0,0.196,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
14,AlC0.2CoCrFeNi,BCC + IM,,,,,906,9,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.192,0,0.038,0,0.192,0.192,0,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0
15,AlC0.3CoCrFeNi,BCC + IM,,,,,867,8,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.189,0,0.057,0,0.189,0.189,0,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
