,Ti,Au,Ca,Ag,Rh,Os,W,Mg,Tl,Hf,Li,Ir,Pt,Fe,Ni,Sr,V,Zr,Re,Ta,Na,Mo,Pd,Nb,Ru,Co,Be,Cr,Cd,Al,Zn,Cu,Ba,Mn
Bulk Modulus,103.5,207.1,16.5,121.5,278.1,448.3,271.9,38.0,79.0,97.0,14.5,382.8,274.3,195.4,229.2,12.5,194.4,87.6,350.7,179.9,8.1,254.4,205.5,156.6,319.9,268.2,125.2,264.1,61.1,79.0,87.7,162.6,8.1,292.6
r_s,2.049,1.9375,3.0867,2.1296,1.8296,1.6732,1.7416,2.574,2.09,2.066,3.101,1.7136,1.7991,1.7433,1.8015,3.3164,1.8439,2.151,1.6863,1.85795,3.7561,1.8005,1.9423,1.92295,1.769,1.7424,1.8382,1.7325,2.3148,2.09,2.0695,1.9112,3.4412,1.7013
rho,0.0278,0.0328,0.0081,0.0247,0.039,0.051,0.0452,0.014,0.0262,0.0271,0.008,0.0475,0.041,0.0451,0.0408,0.0066,0.0381,0.024,0.0498,0.0372,0.0045,0.0409,0.0326,0.0336,0.0431,0.0451,0.0384,0.0459,0.0193,0.0262,0.0269,0.0342,0.0059,0.0485
Atomic number,22.0,79.0,20.0,47.0,45.0,76.0,74.0,12.0,81.0,72.0,3.0,77.0,78.0,26.0,28.0,38.0,23.0,40.0,75.0,73.0,11.0,42.0,46.0,41.0,44.0,27.0,4.0,24.0,48.0,13.0,30.0,29.0,56.0,25.0
Atomic radius (pm),146.15,144.2,197.6,156.83,137.54,135.23,136.7,160.13,171.6,157.75,151.94,135.73,138.7,124.12,124.59,215.2,131.6,160.25,137.5,143.0,185.7,136.26,144.47,142.9,134.5,125.1,112.8,124.91,165.9,143.17,139.45,127.8,217.6,135.0
Melting point (K),1941.0,1337.0,1115.0,594.0,1828.0,3306.0,3695.0,923.0,577.0,2506.0,454.0,2719.0,2041.0,1811.0,1728.0,1050.0,2183.0,2128.0,3458.0,3290.0,371.0,2896.0,1235.0,2750.0,2237.0,1768.0,1560.0,2180.0,430.0,933.0,693.0,1358.0,1000.0,1519.0
Boiling point (K),3560.0,3129.0,1757.0,2435.0,3968.0,5285.0,5930.0,1363.0,1746.0,4876.0,1615.0,4701.0,4098.0,3134.0,3186.0,1655.0,3680.0,4682.0,5869.0,5731.0,1156.0,4912.0,3236.0,5017.0,4423.0,3200.0,2742.0,2944.0,1040.0,2792.0,1180.0,2835.0,2143.0,2334.0
Pauling electronegativity (-),1.54,2.54,1.0,1.69,2.2,2.2,2.36,1.31,1.62,1.3,0.98,2.2,2.28,1.83,1.91,0.95,1.63,1.33,1.9,1.5,0.93,2.16,1.93,1.6,2.28,1.88,1.57,1.66,1.78,1.61,1.65,1.9,0.89,1.55
Allen electronegativity (-),1.38,1.92,1.03,1.87,1.56,1.65,1.47,1.29,1.79,1.16,0.91,1.68,1.72,1.8,1.88,0.96,1.53,1.32,1.6,1.34,0.87,1.47,1.58,1.41,1.54,1.84,1.58,1.65,1.52,1.61,1.59,1.85,0.88,1.75
Valence electron concentration (-),4.0,11.0,2.0,12.0,10.0,8.0,6.0,2.0,3.0,4.0,1.0,9.0,10.0,8.0,10.0,2.0,5.0,4.0,7.0,5.0,1.0,6.0,11.0,5.0,9.0,9.0,2.0,6.0,3.0,3.0,12.0,11.0,2.0,7.0
