,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
Atomic number,3.0,4.0,5.0,6.0,7.0,11.0,12.0,13.0,14.0,15.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,55.0,56.0,57.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0
Atomic radius (pm),151.94,112.8,82.0,77.3,75.0,185.7,160.13,143.17,115.3,106.0,231.0,197.6,164.1,146.15,131.6,124.91,135.0,124.12,125.1,124.59,127.8,139.45,139.2,124.0,115.0,244.0,215.2,180.15,160.25,142.9,136.26,133.84,134.5,137.54,144.47,156.83,165.9,162.0,145.0,145.2,265.0,217.6,187.9,157.75,143.0,136.7,137.5,135.23,135.73,138.7,144.2,150.0,171.6,174.97,160.0
Melting point (K),454.0,1560.0,2348.0,4742.0,63.0,371.0,923.0,933.0,1687.0,317.0,337.0,1115.0,1814.0,1941.0,2183.0,2180.0,1519.0,1811.0,1768.0,1728.0,1358.0,693.0,303.0,1211.0,1090.0,312.0,1050.0,1795.0,2128.0,2750.0,2896.0,2607.0,2237.0,1828.0,1235.0,594.0,430.0,505.0,904.0,723.0,302.0,1000.0,1193.0,2506.0,3290.0,3695.0,3458.0,3306.0,2719.0,2041.0,1337.0,234.0,577.0,600.0,544.0
Boiling point (K),1615.0,2742.0,4200.0,4300.0,77.0,1156.0,1363.0,2792.0,3538.0,550.0,1032.0,1757.0,3103.0,3560.0,3680.0,2944.0,2334.0,3134.0,3200.0,3186.0,2835.0,1180.0,2477.0,3106.0,887.0,961.0,1655.0,3609.0,4682.0,5017.0,4912.0,4538.0,4423.0,3968.0,3236.0,2435.0,1040.0,2345.0,2875.0,1860.0,944.0,2143.0,3737.0,4876.0,5731.0,5930.0,5869.0,5285.0,4701.0,4098.0,3129.0,630.0,1746.0,2022.0,1837.0
Pauling electronegativity (-),0.98,1.57,2.04,2.55,3.04,0.93,1.31,1.61,1.9,2.19,0.82,1.0,1.36,1.54,1.63,1.66,1.55,1.83,1.88,1.91,1.9,1.65,1.81,2.01,2.18,0.82,0.95,1.22,1.33,1.6,2.16,2.2,2.28,2.2,1.93,1.69,1.78,1.96,2.05,2.1,0.79,0.89,1.1,1.3,1.5,2.36,1.9,2.2,2.2,2.28,2.54,2.0,1.62,2.33,2.02
Allen electronegativity (-),0.91,1.58,2.05,2.54,3.07,0.87,1.29,1.61,1.92,2.25,0.73,1.03,1.19,1.38,1.53,1.65,1.75,1.8,1.84,1.88,1.85,1.59,1.76,1.99,2.21,0.71,0.96,1.12,1.32,1.41,1.47,1.51,1.54,1.56,1.58,1.87,1.52,1.66,1.82,1.98,0.66,0.88,0.0,1.16,1.34,1.47,1.6,1.65,1.68,1.72,1.92,1.77,1.79,1.85,2.01
Valence electron concentration (-),1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0,11.0,12.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,2.0,3.0,4.0,5.0
Itinerant electrons per atom (-),0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Atomic weight (g/mol),6.94,9.01,10.81,12.01,14.01,22.99,24.31,26.98,28.09,30.97,39.1,40.08,44.96,47.87,50.94,52.0,54.94,55.85,58.93,58.69,63.55,65.38,69.72,72.63,74.92,85.47,87.62,88.91,91.22,92.91,95.95,96.91,101.07,102.91,106.42,107.87,112.41,114.82,118.71,121.76,132.91,137.33,138.91,178.49,180.95,183.84,186.21,190.23,192.22,195.08,196.97,200.59,204.38,207.2,208.98
Density (g/cm3),0.53,1.86,2.46,2.27,1.03,0.97,1.74,2.7,2.33,1.82,0.85,1.53,3.0,4.5,6.12,7.19,7.47,7.88,8.84,8.91,8.94,7.14,5.91,5.33,5.79,1.53,2.58,4.47,6.51,8.58,10.23,12.37,12.43,12.43,10.5,8.65,7.29,7.29,6.69,6.24,1.87,3.6,6.2,13.28,16.68,19.41,21.02,22.59,22.56,21.46,19.29,14.24,11.87,11.35,9.81
Molar heat capacity (J/mol K),24.86,16.44,11.09,8.52,29.12,28.2,24.87,24.2,19.79,21.2,29.6,25.93,25.52,25.06,24.89,23.35,26.32,25.1,24.81,26.07,24.44,25.39,25.86,23.22,24.64,21.06,26.4,26.53,25.36,24.6,24.06,24.27,24.06,24.98,25.98,25.35,26.02,26.74,27.11,25.23,32.21,28.07,27.11,25.73,25.36,24.27,25.48,24.7,25.1,25.86,25.42,27.98,26.32,26.65,25.52
Thermal conductivity (W/m/K),84.7,200.0,27.0,129.0,0.03,140.0,156.0,237.0,148.0,0.24,100.0,200.0,16.0,21.9,30.7,93.7,7.82,80.2,100.0,90.7,401.0,116.0,40.6,59.9,50.0,58.0,35.3,17.2,22.7,53.7,53.7,51.0,120.0,150.0,72.0,429.0,97.0,82.0,66.6,24.0,36.0,18.0,13.5,23.0,57.5,174.0,48.0,88.0,150.0,72.0,317.0,8.3,46.0,35.0,8.0
