,Nb,Cd,Li,Ru,Ni,Cu,Mg,Sr,Na,W,Zr,Mn,Pt,Au,Al,Ag,Ti,Mo,Co,Fe,Ir,Tl,Hf,Pd,Re,Os,Ca,V,Be,Ta,Zn,Cr,Rh,Ba
BCC Bulk Modulus,156.6,61.1,14.5,319.9,229.2,162.6,38.0,12.5,8.1,271.9,87.6,292.6,274.3,207.1,79.0,121.5,103.5,254.4,268.2,195.4,382.8,79.0,97.0,205.5,350.7,448.3,16.5,194.4,125.2,179.9,87.7,264.1,278.1,8.1
r_s,1.92295,2.3148,3.101,1.769,1.8015,1.9112,2.574,3.3164,3.7561,1.7416,2.151,1.7013,1.7991,1.9375,2.09,2.1296,2.049,1.8005,1.7424,1.7433,1.7136,2.09,2.066,1.9423,1.6863,1.6732,3.0867,1.8439,1.8382,1.85795,2.0695,1.7325,1.8296,3.4412
rho,0.0336,0.0193,0.008,0.0431,0.0408,0.0342,0.014,0.0066,0.0045,0.0452,0.024,0.0485,0.041,0.0328,0.0262,0.0247,0.0278,0.0409,0.0451,0.0451,0.0475,0.0262,0.0271,0.0326,0.0498,0.051,0.0081,0.0381,0.0384,0.0372,0.0269,0.0459,0.039,0.0059
Atomic number,41.0,48.0,3.0,44.0,28.0,29.0,12.0,38.0,11.0,74.0,40.0,25.0,78.0,79.0,13.0,47.0,22.0,42.0,27.0,26.0,77.0,81.0,72.0,46.0,75.0,76.0,20.0,23.0,4.0,73.0,30.0,24.0,45.0,56.0
Atomic radius (pm),142.9,165.9,151.94,134.5,124.59,127.8,160.13,215.2,185.7,136.7,160.25,135.0,138.7,144.2,143.17,156.83,146.15,136.26,125.1,124.12,135.73,171.6,157.75,144.47,137.5,135.23,197.6,131.6,112.8,143.0,139.45,124.91,137.54,217.6
Melting point (K),2750.0,430.0,454.0,2237.0,1728.0,1358.0,923.0,1050.0,371.0,3695.0,2128.0,1519.0,2041.0,1337.0,933.0,594.0,1941.0,2896.0,1768.0,1811.0,2719.0,577.0,2506.0,1235.0,3458.0,3306.0,1115.0,2183.0,1560.0,3290.0,693.0,2180.0,1828.0,1000.0
Boiling point (K),5017.0,1040.0,1615.0,4423.0,3186.0,2835.0,1363.0,1655.0,1156.0,5930.0,4682.0,2334.0,4098.0,3129.0,2792.0,2435.0,3560.0,4912.0,3200.0,3134.0,4701.0,1746.0,4876.0,3236.0,5869.0,5285.0,1757.0,3680.0,2742.0,5731.0,1180.0,2944.0,3968.0,2143.0
Pauling electronegativity (-),1.6,1.78,0.98,2.28,1.91,1.9,1.31,0.95,0.93,2.36,1.33,1.55,2.28,2.54,1.61,1.69,1.54,2.16,1.88,1.83,2.2,1.62,1.3,1.93,1.9,2.2,1.0,1.63,1.57,1.5,1.65,1.66,2.2,0.89
Allen electronegativity (-),1.41,1.52,0.91,1.54,1.88,1.85,1.29,0.96,0.87,1.47,1.32,1.75,1.72,1.92,1.61,1.87,1.38,1.47,1.84,1.8,1.68,1.79,1.16,1.58,1.6,1.65,1.03,1.53,1.58,1.34,1.59,1.65,1.56,0.88
Valence electron concentration (-),5.0,3.0,1.0,9.0,10.0,11.0,2.0,2.0,1.0,6.0,4.0,7.0,10.0,11.0,3.0,12.0,4.0,6.0,9.0,8.0,9.0,3.0,4.0,11.0,7.0,8.0,2.0,5.0,2.0,5.0,12.0,6.0,10.0,2.0
Itinerant electrons per atom (-),1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0
